j,k,i,lambda,pitch,r,c,a,a_prime,CL,CD,Cn,Ct,V_rel,dT,dQ,dP
1,4,25,3,1,32.55,1.778,0.068248,0.010864,1.509135,0.169521,0.82512,0.267544,22.577109,411.290003,4340.879081,2713.049425
1,4,26,3,1,33.713,1.718,0.067921,0.010149,1.506772,0.162428,0.814323,0.256704,23.235879,415.432974,4415.028947,2759.393092
1,4,27,3,1,34.875,1.658,0.069689,0.009997,1.549009,0.149859,0.820599,0.256881,23.89976,427.430057,4666.39243,2916.495269
1,4,28,3,1,36.038,1.598,0.069879,0.009451,1.549652,0.14345,0.798313,0.243459,24.56556,423.414542,4653.499456,2908.43716
1,4,29,3,1,37.2,1.538,0.070289,0.008973,1.549765,0.137569,0.768682,0.228375,25.233762,414.02791,4575.884785,2859.927991
1,4,30,3,1,38.363,1.478,0.071016,0.008535,1.54937,0.133509,0.731417,0.210978,25.904579,398.983641,4415.101921,2759.438701
1,4,31,3,1,39.525,1.418,0.07213,0.008197,1.548873,0.128407,0.685686,0.192659,26.577881,377.750224,4195.087228,2621.929517
1,4,32,3,1,40.688,1.358,0.073947,0.007961,1.550802,0.123208,0.632007,0.173151,27.253975,350.62574,3908.522746,2442.826716
1,4,33,3,1,41.85,1.298,0.076669,0.007798,1.553114,0.119444,0.56875,0.1514,27.930532,316.750244,3528.715375,2205.447109
1,4,34,3,1,43.013,1.238,0.080825,0.007732,1.554559,0.117091,0.494244,0.127215,28.607873,275.420415,3049.249499,1905.780937
1,4,35,3,1,44.175,1.178,0.070409,0.005985,1.259494,0.116614,0.325716,0.076486,29.288975,181.031928,1877.922021,1173.701263
1,4,36,3,1,45.57,1.106,0.082873,0.006608,1.265892,0.109474,0.227492,0.051671,30.10066,125.382096,1297.765344,811.10334
1,4,37,3,1,46.5,1.067,0.102475,0.00793,1.276773,0.099911,0.152296,0.033932,30.637125,83.890436,869.125426,543.203391
1,4,38,3,1,47.07,1.028,0.127207,0.009392,1.285525,0.092869,0.100955,0.021914,30.95114,54.680931,558.69527,349.184544
1,4,39,3,1,47.256,0.995,0.13897,0.010571,1.29487,0.077861,0.083163,0.018666,31.064354,43.917746,465.828986,291.143116
1,4,40,3,1,47.442,0.905,0.144863,0.011227,1.285339,0.067135,0.06293,0.014445,31.179713,30.451966,331.624598,207.265374
1,4,41,3,1,47.628,0.748,0.144775,0.011447,1.273366,0.058406,0.041958,0.009865,31.299337,16.910045,189.363103,118.351939
1,4,42,3,1,47.814,0.501,0.135161,0.010992,1.26601,0.051411,0.020815,0.005054,31.425674,5.664201,65.76333,41.102081
1,4,43,3,1,48,0.07,0.999945,-0.999938,1.262545,0.049288,0,0,0.001929,0,0,0
1,5,1,3,3,1.3,2.4,0.333333,5.323407,0,0.355805,0.051202,-0.03946,8.416716,4.78795,-4.796879,-2.998049
1,5,2,3,3,2.325,2.358,0.333333,2.78238,0,0.356176,0.067226,-0.055424,8.640222,6.508716,-12.476066,-7.797541
1,5,3,3,3,3.45,2.259,0.333333,1.742671,0,0.355657,0.079944,-0.070917,8.911705,7.888341,-24.141759,-15.088599
1,5,4,3,3,5.45,2.338,0.333333,0.971492,0,0.359755,0.097305,-0.098016,9.46261,11.203768,-61.506846,-38.441779
1,5,5,3,3,7.45,2.339,0.333333,0.62915,0,0.3626,0.109305,-0.124373,10.098897,14.340987,-121.569277,-75.980798
1,5,6,3,3,9.3,2.848,0.333333,0.45276,0,0.373899,0.120016,-0.152015,10.758642,21.759838,-256.322438,-160.201524
1,5,7,3,3,11.625,3.708,0.159724,0.151765,1.542672,0.286389,0.342599,0.236351,11.858954,98.260998,788.033974,492.521234
1,5,8,3,3,12.555,3.672,0.150867,0.126644,1.541645,0.285661,0.376269,0.247612,12.258041,114.184325,943.400947,589.625592
1,5,9,3,3,13.95,3.418,0.131449,0.094172,1.534131,0.280343,0.420376,0.262276,12.901396,131.536298,1144.830426,715.519017
1,5,10,3,3,15.113,3.196,0.117746,0.07423,1.527647,0.276247,0.457668,0.272355,13.445977,145.447059,1308.098312,817.561445
1,5,11,3,3,16.275,3.002,0.106694,0.059476,1.518886,0.270737,0.494612,0.280398,13.997865,160.015489,1476.359698,922.724811
1,5,12,3,3,17.438,2.833,0.097857,0.048504,1.509943,0.263526,0.531149,0.287067,14.559233,175.429553,1653.354326,1033.346454
1,5,13,3,3,18.6,2.687,0.090692,0.040141,1.499669,0.255368,0.566195,0.291983,15.129176,191.525585,1837.096675,1148.185422
