j,k,i,lambda,pitch,r,c,a,a_prime,CL,CD,Cn,Ct,V_rel,dT,dQ,dP
1,3,39,3,-1,47.256,0.995,0.031304,0.002246,1.261497,0.136013,1.241235,0.26308,31.146046,658.93948,6599.897284,4124.935803
1,3,40,3,-1,47.442,0.905,0.028382,0.002113,1.260037,0.124849,1.236437,0.27295,31.262108,601.478232,6299.331799,3937.082374
1,3,41,3,-1,47.628,0.748,0.023379,0.001807,1.260603,0.114123,1.233514,0.283878,31.379748,499.697726,5477.188939,3423.243087
1,3,42,3,-1,47.814,0.501,0.015718,0.001272,1.273643,0.102662,1.241945,0.300466,31.499107,339.546392,3927.784456,2454.865285
1,3,43,3,-1,48,0.07,0.002279,0.000194,1.285266,0.093075,1.248979,0.317211,31.621104,48.080611,586.144131,366.340082
1,4,1,3,1,1.3,2.4,0.333333,5.323407,0,0.355805,0.281824,-0.217192,8.416716,26.353407,-26.402549,-16.501593
1,4,2,3,1,2.325,2.358,0.333333,2.78238,0,0.356176,0.27482,-0.226573,8.640222,26.607543,-51.001986,-31.876241
1,4,3,3,1,3.45,2.259,0.333333,1.742671,0,0.355657,0.26606,-0.236017,8.911705,26.253039,-80.345735,-50.216084
1,4,4,3,1,5.45,2.338,0.333333,0.971492,0,0.359755,0.253457,-0.25531,9.46261,29.183226,-160.211122,-100.131951
1,4,5,3,1,7.45,2.339,0.333333,0.62915,0,0.3626,0.239366,-0.272365,10.098897,31.405291,-266.224248,-166.390155
1,4,6,3,1,9.3,2.848,0.333333,0.45276,0,0.373899,0.231689,-0.293463,10.758642,42.007131,-494.827674,-309.267296
1,4,7,3,1,11.625,3.708,0.047474,0.026711,0.761009,0.43319,0.810266,0.332049,12.098665,241.882768,1152.316976,720.19811
1,4,8,3,1,12.555,3.672,0.046426,0.021983,0.757502,0.428671,0.815629,0.303837,12.459562,255.719433,1195.991385,747.494615
1,4,9,3,1,13.95,3.418,0.072713,0.055078,1.585658,0.329467,1.350633,0.893672,13.061663,433.180593,3998.378819,2498.986762
1,4,10,3,1,15.113,3.196,0.06851,0.045208,1.584924,0.317773,1.370877,0.856541,13.573375,443.959728,4192.218366,2620.136479
1,4,11,3,1,16.275,3.002,0.065012,0.03764,1.58112,0.306443,1.386729,0.819041,14.100458,455.2307,4375.889658,2734.931036
1,4,12,3,1,17.438,2.833,0.061727,0.031291,1.561748,0.299459,1.39082,0.770941,14.641326,464.559304,4490.432389,2806.520243
1,4,13,3,1,18.6,2.687,0.059089,0.026577,1.547438,0.289761,1.394576,0.730537,15.197061,475.983211,4637.720182,2898.575113
1,4,14,3,1,19.763,2.561,0.056968,0.022852,1.532918,0.279562,1.395668,0.692896,15.765541,488.620956,4794.141362,2996.338351
1,4,15,3,1,20.925,2.452,0.055255,0.019854,1.518172,0.270288,1.395101,0.656958,16.344745,502.626271,4952.708386,3095.442741
1,4,16,3,1,22.088,2.358,0.05393,0.017491,1.50561,0.259949,1.393991,0.62548,16.935405,518.510668,5138.868132,3211.792582
1,4,17,3,1,23.25,2.276,0.054844,0.016217,1.548121,0.254225,1.440957,0.620446,17.532641,554.473411,5550.810137,3469.256335
1,4,18,3,1,24.413,2.203,0.054059,0.014605,1.538989,0.243233,1.440059,0.59488,18.142242,574.300565,5791.742786,3619.839241
1,4,19,3,1,25.575,2.138,0.05345,0.013279,1.530523,0.23156,1.43825,0.572327,18.759702,595.191285,6057.338009,3785.836256
1,4,20,3,1,26.738,2.078,0.053035,0.012137,1.524189,0.221683,1.438234,0.55116,19.384532,617.658709,6328.854941,3955.534338
1,4,21,3,1,27.9,2.018,0.052542,0.011136,1.517258,0.211379,1.436571,0.531993,20.016085,638.806334,6600.125026,4125.078141
1,4,22,3,1,29.063,1.958,0.052034,0.010243,1.510897,0.201826,1.434993,0.514138,20.654357,659.247462,6864.660102,4290.412564
1,4,23,3,1,30.225,1.898,0.051645,0.009498,1.510014,0.192059,1.437573,0.50041,21.297992,680.716446,7161.905125,4476.190703
1,4,24,3,1,31.388,1.838,0.051253,0.008802,1.509958,0.184383,1.441286,0.486481,21.946819,701.781022,7435.004983,4646.878114
1,4,25,3,1,32.55,1.778,0.050796,0.00819,1.510479,0.175891,1.444672,0.47477,22.600316,721.593838,7718.938644,4824.336652
1,4,26,3,1,33.713,1.718,0.050208,0.007603,1.508809,0.168544,1.446098,0.462292,23.258522,739.175687,7966.431599,4979.019749
1,4,27,3,1,34.875,1.658,0.050842,0.007386,1.547626,0.156566,1.48271,0.470353,23.921506,773.713817,8559.778001,5349.861251
1,4,28,3,1,36.038,1.598,0.0502,0.006883,1.548986,0.150083,1.486722,0.459934,24.587377,789.939312,8806.842486,5504.276553
1,4,29,3,1,37.2,1.538,0.049403,0.006405,1.549566,0.144302,1.489931,0.449539,25.256145,803.931728,9023.269687,5639.543554
1,4,30,3,1,38.363,1.478,0.048589,0.005941,1.549962,0.14036,1.493346,0.43818,25.927971,816.083387,9186.268109,5741.417568
1,4,31,3,1,39.525,1.418,0.047653,0.005517,1.54958,0.135667,1.495449,0.428061,26.602493,825.382299,9338.166205,5836.353878
1,4,32,3,1,40.688,1.358,0.046632,0.005118,1.549161,0.131369,1.497392,0.418302,27.280261,832.328968,9460.535611,5912.834757
1,4,33,3,1,41.85,1.298,0.045544,0.004729,1.548909,0.128772,1.499822,0.407716,27.959521,837.021603,9522.482068,5951.551292
1,4,34,3,1,43.013,1.238,0.044384,0.00435,1.548818,0.127837,1.502719,0.39625,28.641299,839.356551,9520.028004,5950.017503
1,4,35,3,1,44.175,1.178,0.035,0.003039,1.26013,0.126272,1.231505,0.295412,29.326446,686.219502,7271.617029,4544.760643
1,4,36,3,1,45.57,1.106,0.033666,0.00275,1.259934,0.123295,1.232985,0.287028,30.150124,681.794744,7232.676913,4520.423071
1,4,37,3,1,46.5,1.067,0.032993,0.002602,1.259724,0.120094,1.233429,0.282804,30.700815,682.2463,7273.859778,4546.162361
1,4,38,3,1,47.07,1.028,0.032095,0.002461,1.259733,0.120237,1.234412,0.278589,31.038886,672.400546,7142.926218,4464.328886
1,4,39,3,1,47.256,0.995,0.031257,0.002495,1.268091,0.107541,1.238664,0.292117,31.153182,657.875984,7331.698949,4582.311843
1,4,40,3,1,47.442,0.905,0.0287,0.00239,1.283247,0.094689,1.24918,0.308607,31.268946,607.942698,7125.363286,4453.352054
1,4,41,3,1,47.628,0.748,0.023857,0.002065,1.296414,0.082989,1.257929,0.324333,31.385559,509.776721,6260.041674,3912.526046
1,4,42,3,1,47.814,0.501,0.015851,0.001412,1.293835,0.07442,1.252327,0.333501,31.502647,342.461956,4360.601616,2725.37601
1,4,43,3,1,48,0.07,0.002266,0.000208,1.286538,0.067884,1.242238,0.341517,31.621543,47.822413,631.07352,394.42095
1,5,1,3,3,1.3,2.4,0.333333,5.323407,0,0.355805,0.281824,-0.217192,8.416716,26.353407,-26.402549,-16.501593
1,5,2,3,3,2.325,2.358,0.333333,2.78238,0,0.356176,0.27482,-0.226573,8.640222,26.607543,-51.001986,-31.876241
1,5,3,3,3,3.45,2.259,0.333333,1.742671,0,0.355657,0.26606,-0.236017,8.911705,26.253039,-80.345735,-50.216084
1,5,4,3,3,5.45,2.338,0.333333,0.971492,0,0.359755,0.253457,-0.25531,9.46261,29.183226,-160.211122,-100.131951
1,5,5,3,3,7.45,2.339,0.333333,0.62915,0,0.3626,0.239366,-0.272365,10.098897,31.405291,-266.224248,-166.390155
1,5,6,3,3,9.3,2.848,0.333333,0.45276,0,0.373899,0.231689,-0.293463,10.758642,42.007131,-494.827674,-309.267296
1,5,7,3,3,11.625,3.708,0.07762,0.082719,1.585337,0.330865,1.280487,0.991522,12.1228,383.781121,3454.647501,2159.154688
